id,created_at,text
565356540472066048,2015-02-11 03:47:57,RT @jalajboy: Must read - why @motorcycleyogi admires @ArvindKejriwal http://t.co/ArI9cJRITb
565046012574580736,2015-02-10 07:14:02,"Thank u Sunita for always being there ""@rsaraf007: Sunita Kejriwal and @ArvindKejriwal  first pics after winning http://t.co/eDLxfxKMbd"""
565024838708776961,2015-02-10 05:49:53,RT @DrKumarVishwas: Even if BJP gets less thn 7 seats we will give LOP to BJP. लोकतन्त्र स्वीकार से चलता है.
564977867809775616,2015-02-10 02:43:15,Have some fun. U must watch this video :) #KejriwalOnTVF http://t.co/QEDVXC6gj8
564971779400028160,2015-02-10 02:19:03,Happy birthday @DrKumarVishwas  God bless u
564966527170904065,2015-02-10 01:58:11,All the very best Delhiites. Do pray. Prayers are v powerful.
564618762796560384,2015-02-09 02:56:17,Congratulations to @IndianExpress  for showing courage
564617723208933376,2015-02-09 02:52:09,Why doesn't BJP govt act against HSBC officials? They will spill the beans. US did precisely that(3/3)
564617615478231040,2015-02-09 02:51:44,But bigger Q is - what did first cong and now BJP do? Nothing? Why? Some of these people claim to hv both BJP n Cong in their pocket(2/3)
564617483680624641,2015-02-09 02:51:12,The names i revealed in a PC on 9 Nov 2012 are there in IE list today. We stand vindicated(1/3)
564261864175968256,2015-02-08 03:18:06,Volunteers. U did an amazing job. Relax for 2 days. Spend wid ur family. Sleep. Watch movies. Meditate. Chill. God bless u.
564211642515222528,2015-02-07 23:58:32,"RT @iKabirBedi: .@ArvindKejriwal will win the #DelhiElections. He's telegenic and reassuring, even as promises a revolution. #DelhiShowdown"
564112841779593219,2015-02-07 17:25:56,"RT @aajtak: Breaking News: @ArvindKejriwal का ट्वीट, 'EVM की निगरानी के लिए AAP कार्यकर्ता तैनात' #Aajtak #Delhivotes"
564106702216114177,2015-02-07 17:01:33,Deployed volunteers to keep round the clock vigil on premises housing EVMs
564103390787936256,2015-02-07 16:48:23,RT @ashutosh83B: Are EVMs safely kept? We have deployed our volunteers to keep round the clock vigil of premises where they r kept.
564072807852544001,2015-02-07 14:46:52,My gratitud 2 Delhiites for their support. U r so amazing.U rejcted politics of caste n religion.Hope final results r as per exit polls(2/2)
564072187187822594,2015-02-07 14:44:24,"My sincere thnks n congratulations to all selfless volunteers of AAP, who worked round the clock for their country. AAP is bcoz of u (1/2)"
564041827896938497,2015-02-07 12:43:45,हमने अपना काम इमानदारी और निस्वार्थ भाव से किया। अब फल भगवान के हाथ में है।
563979737110822913,2015-02-07 08:37:02,RT @MikaSingh: Best wishes to my big brother @ArvindKejriwal as he &amp; his party are doing such good work. God bless u &amp; do make Delhi the su…
